Ticker,Date,Bloomberg ESG Score,Bloomberg Environmental Pillar,Bloomberg Governance Pillar,Bloomberg Social Pillar,S&P Global ESG Rank,S&P Global Governance & Economic Dimension Rank,S&P Global Environmental Dimension Rank,S&P Global Social Dimension Rank,Month,Year,Price,Credit Risk Indicator,Beta,Alpha,Issuer Default Risk,30 Day Volatility,P/E Ratio,Revenue,Market Cap,Historical Market Cap,EPS,Yahoo Finance ESG Score,Yahoo Finance Environmental Score,Yahoo Finance Social Score,Yahoo Finance Governance Score,Monthly Return,GICS Sector,GICS Industry,GICS Industry Group,GICS Sub-Industry,Lasso Model
SNI,2017-03-31,,,,,10.0,31.0,29.0,2.0,3,2017,78.37,IG2,1.6146,-0.6386,IG1,23.652,14.7291,855.12,10165.2692,10168.9613,1.54,48.61,68.02,44.53,40.94,-0.0297140027237834,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280086746337185
SNI,2017-03-31,,,,,10.0,31.0,29.0,2.0,3,2017,78.37,IG2,1.6146,-0.6386,IG1,23.652,14.7291,855.12,10165.2692,10168.9613,1.54,48.61,68.02,44.53,40.94,-0.0297140027237834,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280144241633666
SNI,2017-04-30,,,,,10.0,31.0,29.0,2.0,4,2017,74.72,IG2,1.6407,-1.1269,IG1,11.965,14.0431,855.12,9691.8325,10168.9613,1.54,50.13,68.02,50.63,40.94,-0.0465739441112671,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280201736930147
SNI,2017-04-30,,,,,10.0,31.0,29.0,2.0,4,2017,74.72,IG2,1.6407,-1.1269,IG1,11.965,14.0431,855.12,9691.8325,10168.9613,1.54,50.13,68.02,50.63,40.94,-0.0465739441112671,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280259232226628
SNI,2017-05-31,,,,,10.0,31.0,29.0,2.0,5,2017,66.22,IG2,1.6378,-2.0162,IG1,25.347,12.4456,855.12,8592.4714,10168.9613,1.54,50.13,68.02,50.63,40.94,-0.1137580299785867,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280316727523109
SNI,2017-05-31,,,,,10.0,31.0,29.0,2.0,5,2017,66.22,IG2,1.6378,-2.0162,IG1,25.347,12.4456,855.12,8592.4714,10168.9613,1.54,50.13,68.02,50.63,40.94,-0.1137580299785867,Communication Services,Media,Media & Entertainment,Broadcasting,-0.028037422281959
SNI,2017-06-30,,,,,10.0,31.0,29.0,2.0,6,2017,68.31,IG2,1.5881,-1.652,IG1,16.736,12.3606,925.046,8863.6624,8865.7815,1.8,50.13,68.02,50.63,40.94,0.03156146179402,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280422844069376
SNI,2017-06-30,,,,,10.0,31.0,29.0,2.0,6,2017,68.31,IG2,1.5881,-1.652,IG1,16.736,12.3606,925.046,8863.6624,8865.7815,1.8,50.13,68.02,50.63,40.94,0.03156146179402,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280468918387332
SNI,2017-07-31,,,,,10.0,31.0,29.0,2.0,7,2017,87.41,IG2,1.966,-0.6827,IG2,46.228,15.8167,925.046,11342.0104,8865.7815,1.8,50.13,68.02,50.63,40.94,0.2796076709120185,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0280514318759324
SNI,2017-07-31,,,,,10.0,31.0,29.0,2.0,7,2017,87.41,IG2,1.966,-0.6827,IG2,46.228,15.8167,925.046,11342.0104,8865.7815,1.8,50.13,68.02,50.63,40.94,0.2796076709120185,Communication Services,Media,Media & Entertainment,Broadcasting,-0.028056039307728
